Oligoryzomys delicatus,Oligoryzomys,delicatus,JAGUARS,M3252,OLIdelic_JAGUARSM3252.lmk
Ondatra zibethicus,Ondatra,zibethicus,UM,486N,Ondatra_486N_skull.resampled.lmk
Onychomys torridus,Onychomys,torridus,UWBM,37628,Onychomys_torridus_UWBM37628.lmk
Otomys tropicalis,Otomys,tropicalis,CBUN,KE211,OTO_CBUN_KE_211_skull(2).lmk
Pectinator spekei,Pectinator,spekei,NHMUK,1905.11.4.22,Pectinator_spekei_BMNH_5_11_4_22_skull_1712_1124_2721_00175033.resampled.lmk
Pedetes capensis,Pedetes,capensis,CBUN,1,PEDcapen_Ceske_1.lmk
Perognathus longimembris,Perognathus,longimembris,UWBM,37550,PERlong_UWBM37550_skull.lmk
Peromyscus leucopus,Peromyscus,leucopus,MNHN-ZM-MO,1874-85 bis A,Peromyscus_leucopus_MNHN_1874-85bisA.lmk
Petinomys sp.,Petinomys,sp.,NHMUK,1903.11.2.5,Petinomys_NHMUK_3-11-2-5.lmk
Petromus typicus,Petromus,typicus,NHMUK,1928.9.11.502,Petromus_NHM_1928_9_11_582_skull_2535_1502_1198_00194366.resampled.lmk
Petromyscus sp.,Petromyscus,sp.,CBUN,ANG0154,Pet_CBUN_ANG0154_skull_2339_1462_1486_00119003.resampled.lmk
Petromyscus sp.,Petromyscus,sp.,CBUN,ANG0162,Pet_CBUN_ANG0162_skull_2157_1630_1603_00122339.resampled.lmk
Phodopus campbelli,Phodopus,campbelli,CBUN,-,Phodopus_campbelli_CBUH_no_number.lmk
Platacanthomys lasiurus,Platacanthomys,lasiurus,NHMUK,1915.2.12.1-2,Platacanthomys_NHM.lmk
Pogonomelomys sp.,Pogonomelomys,sp2,CBUN,FR2200-039,Pogonomelomys_spce_FR2200_039_skull_1598_1494_3281_00115569.resampled.lmk
Pogonomys loriae,Pogonomys,loriae,CBUN,MW-1700-033,Pogonomys_lorinae_1700035_skull_1709_1662_3088_00117467.resampled.lmk
Pogonomys macrourus,Pogonomys,macrourus,MV,C2126,Pogonomys_macrourus_C2126_skull_1506_1430_2527_00134671.resampled.lmk
Praomys sp.,Praomys,sp.,MNHN-ZM-MO,1997-381,Praomys_1997_381_skull_1353_1399_2884_00122263.resampled.lmk
Proechimys cuvieri,Proechimys,cuvieri,MNHN-ZM-MO,V3651,Pro_cuv_V3651_skull_2576_1292_1287_00239935.resampled.lmk
Proechimys cuvieri,Proechimys,cuvieri,JAGUARS,M3091,Pro_cuv_M3091_skull_2649_1324_1438_00239935.resampled.lmk
Proechimys guyannensis,Proechimys,guyannensis,JAGUARS,M1199,Pro_guy_M1199_skull_2758_1450_1423_00165802.resampled.lmk
Prometheomys schaposchnikowi,Prometheomys,schaposchnikowi,CBUN,FV19,Protheomys_FV19_skull_973_1060_2003_0018685.resampled.lmk
Protoxerus stangeri,Protoxerus,stangeri,RMCA,1980.036.M.0054,PROstai_RMCA__M0054.lmk
Pseudohydromys ellermani,Pseudohydromys,ellermani,CBUN,FR2200-043,MAYelle_CBUNFR2200043.lmk
